phiy,sme_y,ll,lp,lpost
-0.0641179225909869,0.368033077192514,-280.248282799612,-30.6557088808841,-310.903991680496
-0.0543429550353309,0.368033077192514,-279.772434840093,-30.5978113191135,-310.370246159207
-0.0445679874796749,0.368033077192514,-279.537361512075,-30.5494687564143,-310.08683026849
-0.0347930199240188,0.368033077192514,-279.543063053976,-30.5106811927865,-310.053744246762
-0.0250180523683628,0.368033077192514,-279.789539465795,-30.4814486282302,-310.270988094025
-0.0152430848127068,0.368033077192514,-280.276790747534,-30.4617710627452,-310.738561810279
-0.00546811725705072,0.368033077192514,-281.004816660772,-30.4516484963317,-311.456465157104
-0.142317663036235,0.385515827066286,-293.874359089961,-31.3165459094826,-325.190904999444
-0.132542695480579,0.385515827066286,-291.630328137508,-31.1822083551407,-322.812536492648
-0.122767727924923,0.385515827066286,-289.612537104716,-31.0574257998702,-320.669962904587
-0.112992760369267,0.385515827066286,-287.820985514751,-30.9421982436712,-318.763183758422
-0.103217792813611,0.385515827066286,-286.255673606029,-30.8365256865435,-317.092199292572
-0.093442825257955,0.385515827066286,-284.916601616969,-30.7404081284873,-315.657009745457
-0.083667857702299,0.385515827066286,-283.803769309154,-30.6538455695024,-314.457614878656
-0.073892890146643,0.385515827066286,-282.917177159419,-30.576838009589,-313.494015169008
-0.0641179225909869,0.385515827066286,-282.256823975673,-30.509385448747,-312.76620942442
-0.0543429550353309,0.385515827066286,-281.822710950008,-30.4514878869764,-312.274198836984
-0.0445679874796749,0.385515827066286,-281.614837605586,-30.4031453242773,-312.017982929863
-0.0347930199240188,0.385515827066286,-281.63320370399,-30.3643577606495,-311.99756146464
-0.0250180523683628,0.385515827066286,-281.877809722057,-30.3351251960931,-312.21293491815
-0.0152430848127068,0.385515827066286,-282.348655421367,-30.3154476306082,-312.664103051975
-0.00546811725705072,0.385515827066286,-283.045740563502,-30.3053250641947,-313.351065627697
-0.142317663036235,0.402998576940057,-295.169018469524,-31.2157944613664,-326.384812930891
-0.132542695480579,0.402998576940057,-293.06844159193,-31.0814569070245,-324.149898498955
-0.122767727924923,0.402998576940057,-291.180790863705,-30.956674351754,-322.137465215459
-0.112992760369267,0.402998576940057,-289.506066284847,-30.8414467955549,-320.347513080402
-0.103217792813611,0.402998576940057,-288.044267378521,-30.7357742384273,-318.780041616948
-0.093442825257955,0.402998576940057,-286.7953950984,-30.639656680371,-317.435051778771
-0.083667857702299,0.402998576940057,-285.759448967648,-30.5530941213862,-316.312543089034
-0.073892890146643,0.402998576940057,-284.936428509426,-30.4760865614728,-315.412515070899
-0.0641179225909869,0.402998576940057,-284.32633467741,-30.4086340006308,-314.734968678041
-0.0543429550353309,0.402998576940057,-283.929166279507,-30.3507364388602,-314.279902718367
-0.0445679874796749,0.402998576940057,-283.744924746227,-30.302393876161,-314.047318622388
-0.0347930199240188,0.402998576940057,-283.77360864706,-30.2636063125332,-314.037214959594
-0.0250180523683628,0.402998576940057,-284.015219174099,-30.2343737479769,-314.249592922076
-0.0152430848127068,0.402998576940057,-284.469755373669,-30.214696182492,-314.684451556161
-0.00546811725705072,0.402998576940057,-285.137217961025,-30.2045736160784,-315.341791577104
-0.142317663036235,0.420481326813828,-296.588351929222,-31.1520740600769,-327.740425989299
-0.132542695480579,0.420481326813828,-294.618360483681,-31.017736505735,-325.636096989416
-0.122767727924923,0.420481326813828,-292.849073135887,-30.8929539504646,-323.742027086352
-0.112992760369267,0.420481326813828,-291.280489647423,-30.7777263942655,-322.058216041688
-0.103217792813611,0.420481326813828,-289.912610495125,-30.6720538371378,-320.584664332262
-0.093442825257955,0.420481326813828,-288.745435202156,-30.5759362790816,-319.321371481238
-0.083667857702299,0.420481326813828,-287.778963530098,-30.4893737200968,-318.268337250195
-0.073892890146643,0.420481326813828,-287.013196432625,-30.4123661601834,-317.425562592808
-0.0641179225909869,0.420481326813828,-286.448133194481,-30.3449135993413,-316.793046793822
-0.0543429550353309,0.420481326813828,-286.083774054085,-30.2870160375708,-316.370790091655
-0.0445679874796749,0.420481326813828,-285.920118773018,-30.2386734748716,-316.158792247889
-0.0347930199240188,0.420481326813828,-285.957167828117,-30.1998859112438,-316.157053739361
-0.0250180523683628,0.420481326813828,-286.194920504127,-30.1706533466875,-316.365573850815
-0.0152430848127068,0.420481326813828,-286.633377516304,-30.1509757812025,-316.784353297506
-0.00546811725705072,0.420481326813828,-287.27253838781,-30.140853214789,-317.413391602599
-0.142317663036235,0.4379640766876,-298.116260903807,-31.1186033708545,-329.234864274661
-0.132542695480579,0.4379640766876,-296.265442269773,-30.9842658165126,-327.249708086286
-0.122767727924923,0.4379640766876,-294.604084390135,-30.8594832612421,-325.463567651377
-0.112992760369267,0.4379640766876,-293.132186788053,-30.7442557050431,-323.876442493096
-0.103217792813611,0.4379640766876,-291.849749463529,-30.6385831479154,-322.488332611445
-0.093442825257955,0.4379640766876,-290.756772416563,-30.5424655898592,-321.299238006422
-0.083667857702299,0.4379640766876,-289.853255647154,-30.4559030308744,-320.309158678028
-0.073892890146643,0.4379640766876,-289.139199632139,-30.3788954709609,-319.5180951031
-0.0641179225909869,0.4379640766876,-288.614603417845,-30.3114429101189,-318.926046327964
-0.0543429550353309,0.4379640766876,-288.279468434782,-30.2535453483483,-318.53301378313
-0.0445679874796749,0.4379640766876,-288.133793252439,-30.2052027856492,-318.338996038089
-0.0347930199240188,0.4379640766876,-288.177578347654,-30.1664152220214,-318.343993569676
-0.0250180523683628,0.4379640766876,-288.410824197264,-30.137182657465,-318.548006854729
-0.0152430848127068,0.4379640766876,-288.833529847593,-30.1175050919801,-318.951034939573
-0.00546811725705072,0.4379640766876,-289.445696252317,-30.1073825255666,-319.553078777884
